Page,Pageviews,Avg. Time on Page,Entrances,Bounce Rate
/parks/facilities/twin-lakes-recreation-center/group-classes,2863,40,410,-33.9
/animal-shelter/animals/60279,2852,15,30,-50.0
/farmers-market/a-fair-of-the-arts,2842,87,1382,-70.77
/animal-shelter/animals/58410,2840,22,59,-23.73
/animal-shelter/animals/58379,2813,25,87,-31.03
/transportation/bus,2802,109,1608,-62.56
/animal-shelter/location,2785,78,410,-64.39
/utilities/rates,2769,125,1329,-61.78
/departments/esd,2768,73,797,-48.06
/departments/cfrd,2755,76,965,-46.32
/animal-shelter/local-laws,2738,111,1293,-62.65
/parks/community-events,2733,35,1493,-37.04
/departments/office-of-the-mayor,2723,103,747,-55.69
/boards/mlk,2704,35,1158,-12.0
/animal-shelter/animals/58822,2697,34,50,-52.0
/farmers-market/selling,2677,87,638,-45.3
/animal-shelter/animals/58427,2658,17,53,-1.89
/animal-shelter/animals/59291,2630,19,47,-68.09
/parks/facilities/winslow-sports-complex,2620,95,1471,-65.19
/inclusion/black-history-month,2611,59,1099,-33.48
/animal-shelter/animals/58703,2606,12,14,-14.29
/departments/public-works/street/leaf-collection,2565,107,1434,-76.5
/contact/phone,2555,114,874,-76.89
/housing/affordable,2547,114,1331,-63.41
/animal-shelter/lost,2538,14,37,-43.24
/animal-shelter/animals/58112,2533,16,50,-26.0
/transportation/parking/downtown/morton-st-garage,2532,95,1249,-53.72
/recreation/sports,2523,26,593,-22.26
/farmers-market/holiday-market,2518,180,1878,-84.56
/public-safety,2494,26,333,-48.35
/engineering/projects/tapp-rockport,2491,118,1703,-82.74
/parks/trails/clear-creek-trail,2487,70,971,-58.7
/planning/udo/update,2478,161,1282,-63.81
/animal-shelter/found,2470,26,59,-37.29
/animal-shelter/animals/58856,2466,11,25,-52.0
/business/buea,2463,110,1052,-49.24
/recreation/programs/10283,2433,42,928,-28.45
/sanitation/modernization/faq,2428,83,1336,-54.04
/neighborhoods/associations,2411,106,868,-54.38
/police/faqs,2379,80,797,-66.12
/departments/police/parking-enforcement,2375,41,1071,-39.59
/transportation/bike/map,2375,118,1332,-67.64
/arts,2348,35,598,-40.97
/planning/bids,2338,32,974,-22.38
/animal-shelter/foster,2314,88,568,-66.73
/police/permits,2288,16,89,-34.83
/departments/hr/jobs/assistant-director-sustainability-economic-and-sustainable-development,2282,33,206,-3.88
/sanitation/FAQ,2281,85,264,-72.35
/parks/rentals,2280,32,506,-25.1
/animal-shelter/animals/30812,2246,21,40,-50.0
/permits,2243,32,435,-22.3
/police/citizens-police-academy,2237,96,1156,-63.75
/recreation/camps,2229,37,536,-21.08
/parks/trails/bloomington-rail-trail,2218,55,423,-51.3
/recreation/sports/swimming,2206,36,242,-39.26
/business/licenses,2202,110,948,-52.11
/animal-shelter/animals/58632,2190,18,23,-60.87
/animal-shelter/animals/58313,2182,11,35,-0.0
/animal-shelter/animals/58834,2167,22,29,-58.62
/boards/plan/meetings/2018,2164,169,351,-61.25
/police/armored-vehicle,2157,53,473,-23.68
/animal-shelter/animals/59724,2147,47,105,-79.05
/animal-shelter/donate-supplies,2109,122,504,-72.02
/housing/home-buyers-club,2103,75,831,-46.81
/neighborhoods,2102,29,265,-47.92
/index.php/animal-shelter/animals,2098,25,812,-23.03
/animal-shelter/animals/58337,2093,16,65,-0.0
/recreation/sports/basketball,2080,16,639,-14.87
/business/zoning-districts,2055,123,840,-41.55
/news/2018/06/14/3568,2037,255,1826,-92.11
/council/meetings,2030,16,503,-10.54
/animal-shelter/animals/60783,1998,31,56,-66.07
/arts/bead,1989,72,813,-49.82
/animal-shelter/animals/57555,1966,21,34,-0.0
/animal-shelter/animals/58209,1964,28,40,-55.0
/news/2018/08/14/3641,1964,226,1830,-96.39
/animal-shelter/animals/58461,1951,15,11,-0.0
/sustainability/action-plan,1947,178,914,-75.49
/animal-shelter/assistance,1946,95,683,-74.52
/animal-shelter/animals/60256,1933,44,66,-68.18
/boards/historic-preservation,1933,65,725,-34.21
/animal-shelter/animals/60790,1911,30,45,-73.33
/animal-shelter/animals/56126,1900,8,17,-0.0
/animal-shelter/animals/60128,1892,33,44,-75.0
/housing/home-ownership,1891,41,309,-51.46
/animal-shelter/animals/60702,1873,25,23,-73.91
/city/holidays,1860,44,575,-50.96
/about/trees,1847,70,898,-48.22
/about/walking-tours,1845,52,607,-39.87
